"Faguó / Faguó rén";"France / French";"chinese vocabulary countries"
"Wǒ qù jìoshì.";"I go to the classroom.";"chinese grammar places"
"Wǒ huí sùshè.";"I return to the dormitory.";"chinese grammar places"
"Nǐ yào qù nǎlǐ?";"Where will you go?";"chinese grammar places"
"Nǐ yào (gēn wǒ) yèshì mā?";"Will you go to night market (with me)?";"chinese grammar places"
"Cèsuǒ zài nǎlǐ?";"Where is the toilet?";"chinese grammar places"
"Cèsuǒ zài nàlǐ.";"The toilet is there.";"chinese grammar places"
"Tā zài nǎlǐ?";"Where is he?";"chinese grammar places"
"Tā zài xuéxiào.";"He is in the school.";"chinese grammar places"
"Nǐ zài nǎlǐ?";"Where are you?";"chinese grammar places"
"Tā zài nǎlǐ mǎi shuǐ?";"Where did she buy the water?";"chinese grammar places"
"Tā zài 7-11 mǎi (le) shuǐ (le).";"She bought water at 7-11.";"chinese grammar places"
"Wǒ mǎi yīfú.";"I bought clothes.";"chinese grammar sentence-expansion"
"Wǒ zài yèshì mǎi yīfú.";"I went to a night market to buy clothes.";"chinese grammar sentence-expansion"
"Wǒ zuótiān zài yèshì mǎi yīfú.";"I went to a night market to buy clothes yesterday.";"chinese grammar sentence-expansion"
"Wǒ yào mǎi yīfú.";"I want to buy clothes.";"chinese grammar sentence-expansion"
"Wǒ yào qù yèshì mǎi yīfú.";"I want to go to a night market to buy clothes.";"chinese grammar sentence-expansion"
"Wǒ míngtiān yào qù yèshì mǎi yīfú.";"I will go to a night market to buy clothes tomorrow.";"chinese grammar sentence-expansion"
"Wǒmen dōu shì xuéshēng.";"We are all students.";"chinese grammar particles"
"Wǒmen dōu zài jiàoshi.";"We are all in the classroom.";"chinese grammar particles"
"Wǒmen dōu yǒu bǐ.";"We all have pens.";"chinese grammar particles"
"Shuǐ kāfēi hé chá wǒ dōu xǐhuān.";"Water, coffee and tea, I like them all.";"chinese grammar particles"
"Wǒ xǐhuān chá, kěshì bùxǐhuān píjiǔ.";"I like tea but not beer.";"chinese grammar particles"
"Tā hěn máng, kěshì búèi.";"He is busy but not tired.";"chinese grammar particles"
"Tā hěn kě, kěshì bú è.";"He is thirsty but not hungry.";"chinese grammar particles"
"Wǒ xǐhuān kāfēi hé chá?";"I like coffee and tea.";"chinese grammar particles"
"Nǐ xǐhuān chē shuǐ hái chá?";"Do you like to dink water or tea?";"chinese grammar particles"
"Wǒ dōu xǐhuān.";"I like both.";"chinese grammar particles"
"Wǒ yaò kāfēi huò shì chá.";"I want coffee or tea.";"chinese grammar particles"
"Jīntiān tiānqì hěn hǎo.";"The weather is very good today.";"chinese grammar particles"
"Shéi hěn gāo?";"Who is very tall?";"chinese grammar particles"
"Déguó chē hěn guì.";"German cars are very expensive.";"chinese grammar particles"
"Jiékè de píjiǔ hěn yǒumíng.";"Czech beer is very famous.";"chinese grammar particles"
"Nǐ xǐhuān něi liàng chē?";"Which car do you like?";"chinese grammar particles"
"Nǐ xǐhuān něiguó píjiǔ?";"Which beer do you like?";"chinese grammar particles"
"Něi liàng chē shì Déguó chē?";"Which car is a German car?";"chinese grammar particles"
"Tā mǎi shuǐguǒ.";"He buys fruit.";"chinese grammar particles"
"Tā mǎi le shuǐguǒ.";"He bought fruit.";"chinese grammar particles"
"Tā mǎi le hěn duō shuǐguǒ.";"He bought many fruits.";"chinese grammar particles"
"Tā Jīntiān maǐ le hěn duō shuǐguǒ.";"He bought many fruits today.";"chinese grammar particles"
"Tāde shìyǒu yě maǐle shuǐguǒ.";"His roommate also bought fruits.";"chinese grammar particles"
"Zhèi zhī shǒujī tài guì.";"This cell phone is too expensive.";"chinese grammar particles"
"Tā hēle tài duō píjiǔ.";"She drank too much beer.";"chinese grammar particles"
"Wǒde qián tài shǎo.";"My money is too little.";"chinese grammar particles"
"Bú gòu";"Not enough";"chinese grammar particles"
"Màm yidiǎn.";"Slow down. More slowly.";"chinese grammar particles"
"Zhèi shuāng tàixiǎo, wǒ yào dà yidiǎn de.";"This pair is too small, I want a bigger  one.";"chinese grammar particles"
"Wǒ yào dà hào de.";"I want a large one.";"chinese grammar particles"
"Nèi jiàn tài duǎn, chang yìdiǎn.";"That one is too short, longer.";"chinese grammar particles"
"Wǒ yào huàn yīfú.";"I want to change clothes.";"chinese grammar particles"
"Kě bùkěyǐ 1à yìdiǎn?";"May I have it hotter?";"chinese grammar particles"
"Zhèiběn shū hěn hǎokàn.";"This book is interesting. (good look)";"chinese grammar particles"
"Nèizhī bǐ hěn hǎochī.";"That pen is good to write.";"chinese grammar particles"
"Niúròumiàn hěn hǎochī.";"Beef noodles are tasty.(good to eat)";"chinese grammar particles"
"Něizhǒng dōngxī hěn nánchī?";"Which kind of things are disgusting?";"chinese grammar particles"
"Shénme hěn nán chī?";"What is awful to eat?";"chinese grammar particles"
"Yìzhī bǐ, liǎngběn shū, yígòng duōshǎo qián?";"A pen, two books, altogether how much are they?";"chinese grammar particles"
